date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:51:05	156/156	------	301	error ('Moved%20Permanently')	text/html	date:Fri,%2019%20Jan%202018%2016:49:19%20GMT	http://oeasy.org/love	oeasy.org/love.0.delayed	(from )
16:51:05	68/68	------	200	untouched ('OK')	text/plain	etag:%226052bd-44-4da50d5cc0880%22	http://oeasy.org/robots.txt		(from )
16:51:05	8732/8732	------	200	untouched ('OK')	text/html	etag:%226003ad-221c-53f9315cb9449%22	http://oeasy.org/love/	oeasy.org/love/index.html	(from )
16:51:05	768/768	------	200	untouched ('OK')	text/css	etag:%226003af-300-53f9315d5e101%22	http://oeasy.org/love/story/default.css	oeasy.org/love/story/default.css	(from http://oeasy.org/love/)
16:51:05	93637/93637	------	200	untouched ('')	text/javascript	etag:%226003b0-16dc5-53f9315e8d879%22	http://oeasy.org/love/story/jquery.js	oeasy.org/love/story/jquery.js	(from http://oeasy.org/love/)
16:51:05	880/880	------	200	untouched ('')	text/javascript	etag:%226003b1-370-53f9315fb9171%22	http://oeasy.org/love/story/jscex.js	oeasy.org/love/story/jscex.js	(from http://oeasy.org/love/)
16:51:05	54493/54493	------	200	untouched ('')	text/javascript	etag:%226003b2-d4dd-53f9315f6ceb1%22	http://oeasy.org/love/story/jscex-parser.js	oeasy.org/love/story/jscex-parser.js	(from http://oeasy.org/love/)
16:51:05	51641/51641	------	200	untouched ('')	text/javascript	etag:%226003b3-c9b9-53f9315f4ea51%22	http://oeasy.org/love/story/jscex-jit.js	oeasy.org/love/story/jscex-jit.js	(from http://oeasy.org/love/)
16:51:05	2050/2050	------	200	untouched ('')	text/javascript	etag:%226003b4-802-53f9315ec9199%22	http://oeasy.org/love/story/jscex-builderbase.js	oeasy.org/love/story/jscex-builderbase.js	(from http://oeasy.org/love/)
16:51:05	4027/4027	------	200	untouched ('')	text/javascript	etag:%226003b5-fbb-53f9315e6e091%22	http://oeasy.org/love/story/jscex-async.js	oeasy.org/love/story/jscex-async.js	(from http://oeasy.org/love/)
16:51:05	3756/3756	------	200	untouched ('')	text/javascript	etag:%226003b6-eac-53f9315e146f9%22	http://oeasy.org/love/story/jscex-async-powerpack.js	oeasy.org/love/story/jscex-async-powerpack.js	(from http://oeasy.org/love/)
16:51:05	1648/1648	------	200	untouched ('')	text/javascript	etag:%226003f0-670-53f9315dab749%22	http://oeasy.org/love/story/functions.js	oeasy.org/love/story/functions.js	(from http://oeasy.org/love/)
16:51:05	17085/17085	------	200	untouched ('')	text/javascript	etag:%226003f1-42bd-53f93160038d9%22	http://oeasy.org/love/story/love.min.js	oeasy.org/love/story/love.min.js	(from http://oeasy.org/love/)
16:52:33	4450157/4450157	UR-M--	200	updated ('Partial%20Content')	audio/mpeg	etag:%2260049a-43e76d-53f9317726679%22	http://oeasy.org/music/iloveu.mp3	oeasy.org/music/iloveu.mp3	(from http://oeasy.org/love/)
